"address","airdrop_amount","verification_count"
"0xbf63125e42d4002629e7667ede64326b5abc8128","124659.032900000000000000","3"
"0xa3268edfd84415472d9c30ecdeba487f865ee063","122741.336624000000000000","2"
"0x9e653a7a93531aad4177593985b5681a440f823f","119548.495129400000000000","3"
"0xbafcbded5010d8868424900eba83fcad20a99c3f","111857.725000000000000000","0"
"0x5bf29e6b5373903abef61755c4063dd5769e241f","109154.754563700000000000","3"
"0x4a593e4cee0f009bb23c3b104b7d071a063eccc2","109086.427206000000000000","3"
"0xfd407bbea64de8c4e7fed914c322669d3661ebeb","106102.469130000000000000","2"
"0x87eec7e88be8d1df41841d21f6afabb667c94ef2","104428.445100000000000000","2"
"0xcfd7badacc953d2a758073864669f2f107f66b5b","103615.820400000000000000","0"
"0x32af575a9673e44583af2b24ba94b0ce7006677d","102070.828200000000000000","1"
"0x830f4ed4de433cd0420da20b8e95fa1196da59a8","98592.446530000000000000","0"
"0xe87cbd0b51a6d34d59c954f210800e8a91f8f967","95735.817843800000000000","2"
"0x8007221ab6bdb20496eb74d038cbc5d590d1bea9","95086.760011300000000000","3"
"0x4b3611c2a6e4ea0c44e76452c7676d34565174c2","90109.499250000000000000","3"
"0x7c00bc064540105c4fa74a860091dd57d6a70ba2","86050.339568600000000000","5"
"0x267ca2ee857e4da233111bdfc56da6c0a44f4593","84676.411033900000000000","2"
"0x30c842b5091bca284e6ce48f3a07d6957f17b225","83846.726220000000000000","2"
"0x9cd17d426a637494d42546bef9b5765c075e7956","82148.558490000000000000","2"
"0x68292357e9b0b35e08861ccdb53290bdb92999c5","76733.019465800000000000","5"
"0x894ff79b9e885a77b7b0ad20056b1a080ceba9e1","76520.669180000000000000","7"
"0x821221842fd8c25f124165df51a684a1c433f36e","75675.128268000000000000","3"
"0x4cefdabb57b46daf2dee3344ad9317c2d8dbebcc","72534.042979000000000000","2"
"0x8526406521d8d16c85981eabdc5559848c5de783","70571.711880000000000000","1"
"0xc9c089c9339da08b70b0d08d7e195e09c07ee4b8","70161.318212000000000000","2"
"0x0e8bb213b61b740a4ce5f8b59bcbbdc05aecd615","68768.510929000000000000","2"
"0x0716ee1a5a5607277fc3fcb08db75673e32f3b06","67917.088493000000000000","3"
"0x1c7c7b93f7d17a0faabfe6f99557c89493ccb9e4","66828.384300000000000000","2"
"0xa97f96086abc46d413531e55fdc8fac054d08918","65988.670380000000000000","4"
"0xc22b9aac77d506b20a7e7d6885afc6d26474f1df","64523.998571000000000000","2"
"0x543c7670bb7b1d550314e05efd7dc280d8e98f36","64474.911720000000000000","2"
"0x0000024bc043e565527f26318f7bb5dbae457a36","64246.632930000000000000","5"
"0x7ce8b6f479c9c8d75c815c91b9acb1c3ace54906","62639.240597000000000000","2"
"0xf7a584c2973730973574e04f0a1cd42e87d28c4c","62129.429560400000000000","2"
"0x08f81d7150abe246379e537a9f2f0e5ff6d2d258","59546.374082400000000000","10"
"0xc52e234f74216a64017cf96759d09c6a476ec02f","58741.255009000000000000","3"
"0xa6f5a416e27f54fbb5ed6a5deb412bc9a7aab8a6","58554.533040338600000000","3"
"0x28b903d9bcff10a17fc068d6d3d1f9a06054bb68","58529.871926400000000000","3"
"0x405674e10b99daba43b11918e8b1f345e2f661a2","58363.346946000000000000","4"
"0x7d9f6758584c6456a1ff353fbc53b3d513cc9577","57361.668280000000000000","1"
"0x0799cf9710b62c5a63d2ad8d06545c6b66910b8f","57105.153978000000000000","2"
"0xc830fe4df0775d1c6ce5541693cbf4210ceac2fb","56648.370066370000000000","1"
"0x09f54defd4000e38cdb097c39943c8018a7e2187","56588.996816000000000000","2"
"0xc4dadc6255237bd99a95f5a909cd6ac2a0e5c817","56586.621543000000000000","3"
"0x91f6678338a3157cdf3b3458161725f5bc1b8b96","56322.937907500000000000","2"
"0x5c85575a1dae0013845d7f563cd944e1340b598d","56240.932193386000000000","3"
"0x5d5768c983cb9c5aed04352299600b09655bd3eb","55922.375890000000000000","2"
"0x32d0faf8fb05fcccd88d6e82431c3a37391c6cac","55346.205702000000000000","2"
"0xefc5ff84594ebf147dceaeb5c41079672cf0d85c","54970.290137300000000000","2"
"0x766cedf83641732c5019ac4fce2e07ac505994b9","54771.512220000000000000","2"
"0xe409a4baacd73bef71f6e921005d79ba0ee2e9d1","54087.627992000000000000","2"
"0x1d80a864211bbc53b8edc8739c8962ac9e2229dd","53589.460534300000000000","2"
"0xdac752245d44f396630c84394e5db9b5de6614dd","52525.949880000000000000","2"
"0x9c6c9ac7ca192a46405cc7875385763223ce62ad","52525.119820000000000000","1"
"0x865f1f150d9b7f994fe4bfb4b11b5d014a792e54","51768.269742390000000000","7"
"0xb8506ef0a6c574b11e1ea9b7218ce990d930f459","50429.192609000000000000","3"
